"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12510","should display error message and retry button when feed fails to load","","2026-09-11","passed","2026-09-11","","Content Overview Feed","",""
"","11072","should display video cards and refresh feed successfully","","2026-09-11","passed","2026-09-11","","Content Overview Feed","",""
"","7821","should dismiss consent and navigate to content overview when ""Reject optional"" is clicked","","2026-09-11","passed","2026-09-11","","Consent Screen Flow","",""
"","12279","should allow pausing and resuming video playback","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","12890","should display empty state message when no videos are available","","2026-09-11","passed","2026-09-11","","Content Overview Feed","",""
"","7664","should dismiss consent and navigate to content overview when ""Accept all"" is clicked","","2026-09-11","passed","2026-09-11","","Consent Screen Flow","",""
"","7796","should dismiss consent and navigate to content overview when ""Accept all"" is clicked","","2026-09-11","passed","2026-09-11","","Consent Screen Flow","",""
"","12115","should navigate to video detail, verify all metadata, and reach Playing state with controls","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","11167","should allow navigating back from detail screen to content overview","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","6704","should display the consent screen with all required UI elements on initial launch","","2026-09-11","passed","2026-09-11","","Consent Screen Flow","",""
"","17020","should transition to Completed state when video playback finishes","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","11231","should navigate to video detail, verify all metadata, and reach Playing state with controls","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","7556","should dismiss consent and navigate to content overview when ""Reject optional"" is clicked","","2026-09-11","passed","2026-09-11","","Consent Screen Flow","",""
"","11808","should display empty state message when no videos are available","","2026-09-11","passed","2026-09-11","","Content Overview Feed","",""
"","9196","should allow opening preferences, toggling choices, and saving to navigate to content overview","","2026-09-11","passed","2026-09-11","","Consent Screen Flow","",""
"","9564","should allow opening preferences, toggling choices, and saving to navigate to content overview","","2026-09-11","passed","2026-09-11","","Consent Screen Flow","",""
"","12980","should handle video buffering state during playback","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","12894","should display error message and retry button when video playback fails","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","15589","should transition to Completed state when video playback finishes","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","11954","should display error message and retry button when feed fails to load","","2026-09-11","passed","2026-09-11","","Content Overview Feed","",""
"","9001","should allow navigating back from detail screen to content overview","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","9199","should display video cards and refresh feed successfully","","2026-09-11","passed","2026-09-11","","Content Overview Feed","",""
"","13247","should handle video buffering state during playback","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","13676","should display error message and retry button when video playback fails","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","11069","should allow pausing and resuming video playback","","2026-09-11","passed","2026-09-11","","Video Playback Flow","",""
"","7677","should display the consent screen with all required UI elements on initial launch","","2026-09-11","passed","2026-09-11","","Consent Screen Flow","",""
